Serial,Song,Artist
1,Hotline Bling,Drake
2,Sky Walker (feat. Travis Scott),Miguel
3,Better Now,Post Malone
4,Genius,Sia
5,SICKO MODE,Travis Scott
6,Supernova,Ansel Elgort
7,IDWK,DVBBS
8,Home,Vince Staples
9,Geekin’,will.i.am
10,Scream & Shout,will.i.am
11,Yallah Habibi - DJ Antoine & Mad Mark 2k18 German Mix,DJ Antoine
12,Coming In Hot,Andy Mineo
13,Mo Bamba,Sheck Wes
14,SWISH,Tyga
15,Super Mario Bros 3,Alfredo Rodriguez
16,Vice,RKCB
17,Rise,Jonas Blue
18,Lucid Dreams,Juice WRLD
19,All Time Low,Jon Bellion
20,Beautiful (feat. Camila Cabello),Bazzi
21,Cake By The Ocean,DNCE
22,Feels,Calvin Harris
23,Lento,Rudy Mancuso
24,Slow Hands,Niall Horan
25,Wake Up in the Sky,Gucci Mane
26,Burn the House Down,AJR
27,Tie Me Down (with Elley Duhé),Gryffin
28,Waiting For Tomorrow (feat. Mike Shinoda),Martin Garrix
29,Remind Me to Forget,Kygo
30,High On Life (feat. Bonn),Martin Garrix
31,Heartbeat,Kaivon
32,No Sleep (feat. Bonn),Martin Garrix
33,Superhuman (feat. Eric Leva),SLANDER
34,Tipsy - Radio Mix,J-Kwon
35,"Tied Up (feat. Mr. Eazi, RAYE & Jake Gosling)",Major Lazer
36,Beach House,The Chainsmokers
37,Old Town Road,Lil Nas X
38,Time to Pretend,MGMT
39,Keanu Reeves,Logic
40,DNA.,Kendrick Lamar
41,Never Be Like You (feat. Kai),Flume
42,Starving,Hailee Steinfeld
43,Uproar,Lil Wayne
44,Light,San Holo
45,Rockstar (Trap Remix),Money Regime
46,idfc (Tarro Remix),blackbear
47,Like It's Over (feat. MNDR),Jai Wolf
48,You and Me,Shallou
49,Slow Motion,SLANDER
50,In Your Eyes,Taska Black
51,Say It,Tory Lanez
52,Here on My Own,Swardy
53,Baby You're Worth It,Kina
54,Get You the Moon,Kina
55,Rx Luv,Lund
56,With Somebody Else,Monty Datta
57,U're Mine,Kina
58,Star Dwellers,Dreamers Delight
59,Dreams (feat. ELEA),Adventure Club
60,I've Changed for You,Kina
61,Kid Goku,Mishaal
62,Sing to You,Monty Datta
63,brooklyn baby,frumhere
64,just friends,keshi
65,Ditch,Gus Dapperton
66,Alrighty Aphrodite,Peach Pit
67,Rolling Dice,Just A Gent
68,Endless Joy,RŮDE
