Serial,Song,Artist
1,Circles,Post Malone
2,Dance Monkey,Tones and I
3,Señorita,Shawn Mendes
4,How Do You Sleep?,Sam Smith
5,Beautiful People (feat. Khalid),Ed Sheeran
6,Someone You Loved,Lewis Capaldi
7,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv
8,Slide Away,Miley Cyrus
9,Lover,Taylor Swift
10,Ransom,Lil Tecca
11,Motivation,Normani
12,Goodbyes (Feat. Young Thug),Post Malone
13,boyfriend (with Social House),Ariana Grande
14,Truth Hurts,Lizzo
15,Teeth,5 Seconds of Summer
16,I.F.L.Y.,Bazzi
17,bad guy,Billie Eilish
18,I Warned Myself,Charlie Puth
19,The Man,Taylor Swift
20,Takeaway,The Chainsmokers
21,Right Back (feat. A Boogie Wit Da Hoodie),Khalid
22,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake
23,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion
24,Won't Be Late (feat. Drake),Swae Lee
25,Lalala,Y2K
26,Good As Hell,Lizzo
27,Small Talk,Katy Perry
28,hot girl bummer,blackbear
29,It's You,Ali Gatie
30,No Guidance (feat. Drake),Chris Brown
31,China,Anuel AA
32,Panini,Lil Nas X
33,Bruises,Lewis Capaldi
34,Time - Edit,NF
35,No Way!,Bazzi
36,Post Malone (feat. RANI),Sam Feldt
37,Good Things Fall Apart (with Jon Bellion),ILLENIUM
38,Be Honest (feat. Burna Boy),Jorja Smith
39,Love Me,Lil Tecca
40,"Yo x Ti, Tu x Mi",ROSALÍA
41,One Thing Right,Marshmello
42,All For Us - from the HBO Original Series Euphoria,Labrinth
43,comethru,Jeremy Zucker
44,You Need To Calm Down,Taylor Swift
45,Jesus In LA,Alec Benjamin
46,The Bones,Maren Morris
47,Old Town Road - Remix,Lil Nas X
48,Outnumbered,Dermot Kennedy
49,Higher Love,Kygo
50,Rescue Me,OneRepublic
51,Ransom,Lil Tecca
52,Bezerk (feat. A$AP Ferg & Hit-Boy),Big Sean
53,Bad Bad Bad (feat. Lil Baby),Young Thug
54,Big Rocks (Offset feat. Young Thug),Quality Control
55,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard
56,Money In The Grave (Drake ft. Rick Ross),Drake
57,Babushka Boi,A$AP Rocky
58,Baby,Quality Control
59,Shots,Lil Tecca
60,The London (feat. J. Cole & Travis Scott),Young Thug
61,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Dreamville
62,Shotta Flow (Feat. Blueface) [Remix],NLE Choppa
63,Sociopath (feat. Kash Doll),Pusha T
64,Tap (feat. Meek Mill),NAV
65,Did It Again,Lil Tecca
66,223's (feat. 9lokknine),YNW Melly
67,Panini,Lil Nas X
