Serial,Song,Artist
1,All Roads Lead Home (Hobbs & Shaw Remix),Ohana Bam
2,Contra La Pared,Sean Paul
3,Runnin (feat. A$AP Rocky & Jacob Banks),Ludwig Goransson
4,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X
5,Kingdom of One,Maren Morris
6,Mr. Glass / End Title - Original Motion Picture Soundtrack,James Newton Howard
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone
8,Flug & Fall - Edit,Ben Böhmer
9,Reflection,Ben Böhmer
10,Rye,Ben Böhmer
11,After Earth - Edit,Ben Böhmer
12,Kingdom of One,Maren Morris
13,Power is Power (feat. The Weeknd & Travis Scott),SZA
14,Nightshade,The Lumineers
15,Hollow Crown,Ellie Goulding
16,Baptize Me,X Ambassadors
17,Too Many Gods,A$AP Rocky
18,Turn on Me,The National
19,From the Grave,James Arthur
20,Me Traicionaste,ROSALÍA
21,When I Lie (Remix) (feat. Ty Dolla $ign),Lil Peep
22,Love Can Kill,Lennon Stella
23,Wolf at Your Door,Chloe x Halle
24,Devil In Your Eye,Mumford & Sons
25,Pray (High Valyrian),Matt Bellamy
26,Mad About You,Koni
27,"Hey, Soul Sister",Train
28,Barking at the Moon - Soundtrack,Jenny Lewis
29,Hum With Me,John De Sohn
30,All I Want,Kodaline
31,High Hopes,Kodaline
32,Gravity,EDEN
33,Hands of Gold,Peter Hollens
34,False Confidence,Noah Kahan
35,Young Blood,Noah Kahan
36,Learning To Fly - Acoustic,Jason Castro
37,Hallelujah,Noah Kahan
38,Be Alright,Dean Lewis
39,Just You and I - Acoustic,Tom Walker
40,Into The Red,James Blake
41,Harmony Hall,Vampire Weekend
42,Born Again,Kodaline
43,I Don't Know Why - Danny Avila Remix,Gavin James
44,Easy,Gavin James
45,Mercy,Lewis Capaldi
46,The Night We Met,Lord Huron
47,We've Never Met but Can We Have a Cup of Coffee or Something,In Love With a Ghost
48,You,Petit Biscuit
49,Markvard - One with the ocean,Markvard
50,Sunsetz,Cigarettes After Sex
51,For a While,Fenne Lily
52,Like Gold,Vance Joy
53,Levitation,Beach House
54,Together,Markvard
55,Going Back,VMK
56,Top to Toe,Fenne Lily
57,Sink,Noah Kahan
58,Faded,ZHU
59,My Watch Has Ended,Ramin Djawadi
60,Hannah Hunt,Vampire Weekend
61,The District Sleeps Alone Tonight,The Postal Service
62,It's Strange (feat. K.Flay),Louis The Child
63,Real Name,Lostboycrow
64,Love,Finding Hope
65,Real Peach,Henry Jamison
66,Spirit Cold,Tall Heights
67,So Hold,Shuba
68,On Our Knees (feat. R.O),Konoba
69,Bones,Lenii
70,Tell Them,James Blake
71,Normal,Sasha Sloan
72,Let Me Touch Your Fire,A R I Z O N A
73,Love Brought Weight,Old Sea Brigade
74,when the party's over,Billie Eilish
75,Nervous - The Ooh Song/Mark McCabe Remix,Gavin James
76,Space Song,Beach House
77,Chemicals,Dean Lewis
78,Lemon Glow,Beach House
79,The Less I Know The Better,Tame Impala
80,Vacation (feat. Veronica),Damon Empero
81,Places,Martin Solveig
82,Pizza,Martin Garrix
83,LA LA LAND,DVBBS
84,Electric Touch,A R I Z O N A
85,Nevada (feat. Cozi Zuehlsdorff),Vicetone
86,They Don't Know Us - Original Mix,Borgeous
87,Magic,Thomas Gold
88,I Feel The Love,Tritonal
89,Yesterday,Swanky Tunes
90,Take Me With You,Juliet Ariel
91,Vibe,Frank Pierce
92,Young Dumb & Broke,Khalid
93,Into The Sunset,Mako
94,Last Call - Loudan Remix,Louis Vivet
95,Latch,Disclosure
96,Meant To Be,Arc North
97,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann
98,Make Me Move,Culture Code
99,Mess Is Mine,Vance Joy
100,Run Boy Run,Woodkid
101,Wildcard (feat. Sidnie Tipton),KSHMR
102,Inside the Lines,Mike Perry
103,Crazy Things,Kosta Dejay
104,Don't Manipulate,Almand
105,Groove 7,DJ Gritzy
106,I Love You,Axwell /\ Ingrosso
107,Fortress (Just A Gent Remix) [feat. Joni Fatora],ILLENIUM
108,Plastic Heart,Nostalghia
109,Waterfall - Seeb Remix,Stargate
110,Wicked Ways,Turhan James
111,Trust Yourself,Wallaby
112,The Otherside,Vicetone
113,Runaways,Sam Feldt
114,Believe (feat. Carl Olander),Decision
115,Fade Away,Kerano
116,Walk Away,LVNDSCAPE
117,Good Life (with G-Eazy & Kehlani),G-Eazy
118,Hey Mama,DJ Tokeo
119,Never Be the Same,Camila Cabello
120,Landslide,Vicetone
121,Come Alive,Hugh Jackman
122,Let's Rewind,RWND
123,FRIENDS,Marshmello
124,Middle,DJ Snake
125,Brother,Kodaline
126,Iridescent,Linkin Park
127,Heart Like Heaven (Falling) - Live,Hillsong UNITED
128,Rain,Bruce Wayne
129,The Scientist,Coldplay
130,Believe (feat. Carl Olander),Decision
131,She Will Be Loved - Radio Mix,Maroon 5
132,Light,San Holo
133,Champagne Ocean,Ehrling
134,Oxygen,JYYE
135,Secrets,The Him
136,Somebody Else,Zonoma
137,The XX Intro - Remix,Makrill
138,Death Note - L's Theme,Rhaeide
139,Without You,Embody
140,Savior,Danko
141,We Were Young,Shavi
142,Talk About It,Mike Perry
143,Roll On,Lincoln Jesser
144,Call My Name,Embody
145,Until We Go Down (feat. Ruelle),LISTENBEE
146,Rich Love (with Seeb),OneRepublic
147,Young Folks,City of the Sun
148,Am I Wrong,Boyce Avenue
149,OK,Robin Schulz
150,Without You (feat. Sandro Cavazza),Avicii
151,Sunny Days,Armin van Buuren
152,Free from Gravity,Axwanging
153,Say Something,Justin Timberlake
154,I Wonder,The Him
155,Circles,Kiso
156,Dive With Me,LVNDSCAPE
157,Are You with Me - Dimaro Remix,Lost Frequencies
158,Over You,Dyrisk
159,Brightest Light - Montis Remix,FDVM
160,Where the Water Ends,VINAI
161,For The Love,Hearts & Colors
162,Can You Feel Me,Love Beans
163,Nobody Knows,Russ
164,Got This Feeling,Sandstrom
165,Breathe It In - Anevo Remix,Savi
166,You're The One,Vorwerk
167,Nana,Offramp
168,The Right Way,Marcus Mouya
169,We Are Alive,AL'sic
170,Taped up Heart (feat. Clara Mae),KREAM
171,King Without a Throne - Bout Remix,HEART FX
172,Fade Into The Sun - Radio Edit,Lulleaux
173,I Found,Amber Run
174,Fickle Game,Amber Run
175,Ain't Gonna Leave,A R I Z O N A
176,Rewind,Cornpop
177,Pray For Me (with Kendrick Lamar),The Weeknd
178,Freaking Out,A R I Z O N A
